actor,date,external_actors,text_en
AA,08/05/2023 1:52,Humanitarian,"Cyclone Mocha Warning Statement to the People of Myanmar

1385, 4th day of the second full moon of the Taku month
2023, 7th day of May

Website Link: https://www.arakanarmy.net/ 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,16/05/2023 02:00,Humanitarian,"Announcement of the immediate need for emergency assistance in the aftermath of Cyclone Mocha

1385, Kason Full Moon Kyaw (12)
2023, May (15)

Website Link: https://www.arakanarmy.net/ 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,16/05/2023 13:52,"ASEAN, Humanitarian, West","United League of Arakan
 
 No (02/2023)
 May 15, 2023
 
 Call for humanitarian assistance for an emergency response
  to Cyclone Mocha in Arakan
 
 On May 14, 2023, Cyclone Mocha passed through the Arakan Coast, with landfall on Sittwe and sweeping through most of the townships and villages across Rakhine, leaving a trail of devastation along its path. Mocha is a highly severe cyclone with wind gusts of 100-120 miles per hour. And it did destroy many basic infrastructures in Arakan, such as houses, religious buildings, schools, hospitals, power grids, communication towers, riverside roads and sidewalks. And it was reported that there were some cases of casualties and injuries caused by Cyclone Mocha.
 
 Currently, the people affected by Cyclone Mocha are facing severe difficulties, such as no shelter and lack of food and medicine, and the public has no further assistance and emergency aid due to the interruption of communication networks (mobile phones, internet) and transportation.
 
 The United League of Arakan calls for immediate help and assistance from the leading countries, the ASEAN countries and other international actors for urgently delivering immediate relief and necessities, such as shelter, food, medicine and other basic needs to the affected communities.
 
 And we are deeply grateful to the civil society organizations, charity groups, and the good-willing public, which were actively cooperating with us during the evacuation process before the storm.
 
 United League of Arakan
 
 Website Link: https://www.arakanarmy.net/ 
 VK Link: https://vk.com/arakanarmyinfodesk"
AA,16/05/2023 14:46,Humanitarian,"Speech by General Htun Myat Naing, Chairman of the Rakhine National League, to the people of Rakhine regarding the emergency relief and relief operations following Cyclone MOCHA that struck on May 14, 2023."
AA,17/05/2023 21:17,Humanitarian,"Statement of the PSLF/TNLA and MNTJP/MNDAA on the people of Rakhine affected by Cyclone Mocha

May 17, 2023

VK Link: https://vk.com/mndaa_tnla_aa 
Telegram Channel: https://t.me/threebrotherhoodalliance"
AA,18/05/2023 02:23,Humanitarian,"Formation of Emergency Relief and Resettlement Committee for the People of Arakan, Affected by Cyclone MOCHA

1385, Kason Full Moon Kyaw (14)
2023, May (17)

Website Link: https://www.arakanarmy.net/ 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,18/05/2023 23:41,Humanitarian,"Cyclone Mocha ERRCA 
 (Cyclone Mocha Emergency Rescue and Rehabilitation Committee for Arakan)"
AA,20/05/2023 01:54,Humanitarian,"MOCHA Cyclone Mocha Emergency Relief and Resettlement Committee (ERRCA)

No. 01/2023
1st of Nayon, 1385 AH
19th of May, 2023"
AA,22/05/2023 01:38,Humanitarian,"Cyclone Mocha Emergency Relief and Resettlement Committee (ERRCA) Appeal to All Volunteers

No. 02/2023

1385, Nayon Moon (3)
2023, May (21)"
AA,02/06/2023 1:55,Humanitarian,"Thank You Letter (1)
=======

Cyclone Mocha ERRCA has been receiving humanitarian donations through committees established inside and outside Rakhine State to provide timely emergency relief and relief to the people of Rakhine State affected by Cyclone Mocha ERRCA, which hit most of the townships of Rakhine State, including Sittwe, Ponnagyun, Rathedaung, Buthidaung, Mrauk-U, Kyauktaw, Minbya, Myebon, and Pauktaw, on May 14, 2023.

On behalf of the people of Arakanese who have been affected by the cyclone, our committee would like to express our sincere gratitude to all those who have donated money and provided other assistance. The Cyclone Mocha ERRCA is effectively using the donations received to the areas where the people of Arakanese who have been affected by the cyclone are in real need, and we are working hard to do our best to work together with the entire Arakanese people by utilizing all our human and financial resources.

Cyclone Mocha ERRCA
June 1, 2023"
AA,02/06/2023 2:19,Humanitarian,"Thank you letter (2)
=======

Cyclone Mocha ERRCA has been receiving humanitarian donations through committees established in and outside Rakhine State to provide timely emergency relief and relief to the people of Rakhine State affected by Cyclone Mocha ERRCA, which hit most of the townships of Rakhine State, including Sittwe, Ponnagyun, Rathedaung, Buthidaung, Mrauk-U, Kyauktaw, Minbya, Myebon, and Pauktaw, on May 14, 2023.

On behalf of the people of Arakanese who have been affected by the cyclone, our committee would like to express our sincere gratitude to all those who have donated money and provided other assistance. The Cyclone Mocha ERRCA is effectively using the donations received to the areas where the people of Arakanese who have been affected by the cyclone are in real need, and we are working hard to do our best to work together with the entire Arakanese people by utilizing all our human and financial resources.

Cyclone Mocha ERRCA
June 1, 2023"
AA,02/06/2023 2:30,Humanitarian,"Thank You Letter (3)
=======

Cyclone Mocha ERRCA has been receiving humanitarian donations through committees established in and outside Rakhine State to provide timely emergency relief and relief to the people of Rakhine State affected by Cyclone Mocha ERRCA, which hit most of the townships of Rakhine State, including Sittwe, Ponnagyun, Rathedaung, Buthidaung, Mrauk-U, Kyauktaw, Minbya, Myebon, and Pauktaw, on May 14, 2023.

On behalf of the people of Arakanese who have been affected by the cyclone, our committee would like to express our sincere gratitude to all those who have donated money and provided other assistance. The Cyclone Mocha ERRCA is effectively using the donations received to the areas where the people of Arakanese who have been affected by the cyclone are in real need, and we are working hard to do our best to work together with the entire Arakanese people by utilizing all our human and financial resources.

Cyclone Mocha ERRCA
June 1, 2023"
AA,03/06/2023 2:26,Humanitarian,"Thank You Letter (4)
=================

Cyclone Mocha ERRCA has been receiving humanitarian donations through committees established in and outside Rakhine State to provide timely emergency relief and relief to the people of Rakhine State affected by Cyclone Mocha ERRCA, which hit most of the townships of Rakhine State, including Sittwe, Ponnagyun, Rathedaung, Buthidaung, Mrauk-U, Kyauktaw, Minbya, Myebon, and Pauktaw, on May 14, 2023.

On behalf of the people of Arakanese who have been affected by the cyclone, our committee would like to express our sincere gratitude to all those who have donated money and provided other assistance. The Cyclone Mocha ERRCA is effectively using the donations received to the areas where the people of Arakanese who have been affected by the cyclone are in real need, and we are working hard to do our best to work together with the entire Arakanese people by utilizing all our human and financial resources.

Cyclone Mocha ERRCA
June 2, 2023
Telegram Channel: https://t.me/ERRCA"
AA,10/06/2023 16:19,Humanitarian,"Receiving Donations for Cyclone Mocha Affected People 

The Union Political Negotiation and Coordination Committee (FPNCC) and the “Wa” State People’s Government contributed 500,000 Myanmar Kyats (5,000,000) for the emergency relief and relief efforts of the people of Arakan affected by Cyclone Mocha, a total of 10,000,000 Kyats (in writing – exactly ten thousand Kyats) were received by the Cyclone Mocha Emergency Rescue and Rehabilitation Committee For Arakan (Cyclone Mocha ERRCA) on June (10), 2023, at approximately (9:30) am. 

The donations were received by U Kyauk Kaw Aung, Vice Chairman and Head of External Relations Department of the “Wa” State People’s Government, FPNCC and “Wa” State People’s Government, The donation was presented on behalf of the People’s Government and received by the Cyclone Mocha ERRCA Committee, Chairman Dr. Nyo Htun Aung and the Head of the Humanitarian and Development Coordination Office (HDCO) U Htun Min Naing in Pangkham, Wa State.

On behalf of the people of Arakan, the committee would like to express its sincere gratitude to all the organizations and individuals who have provided such humanitarian assistance.

https://t.me/ERRCA 
Telegram: https://t.me/hdcoULA 
Outlook mail: HDCO.ULA@outlook.com"
AA,11/06/2023 22:36,Humanitarian,"Mourning Record 

1385, Nayon Full Moon Kyaw (9)
2023, June (11)

Cyclone Mocha ERRCA

Telegram: @HDCORelief 
Telegram: @CycloneMochaERRCA 
Mail: HDCO.ULA@outlook.com"
AA,15/06/2023 01:54,Humanitarian,"Announcement 

1385, 12th day of the full moon of Nayon
2023, 14th day of June

Telegram: @HDCORelief 
Telegram: @CycloneMochaERRCA 
Mail: HDCO.ULA@outlook.com"
AA,15/06/2023 03:18,Humanitarian,"Thank You Letter (5)
=================

Cyclone Mocha ERRCA has been receiving donations from donors from all over the world through committees established in and outside Rakhine State, in order to provide timely emergency relief and relief to the people of Rakhine State affected by Cyclone Mocha, which hit most of the townships of Rakhine State, including Sittwe, Ponnagyun, Rathedaung, Buthidaung, Mrauk-U, Kyauktaw, Minbya, Myebon, and Pauktaw, on May 14, 2023.

On behalf of the people of Arak who have been affected by the cyclone, our committee would like to express our sincere gratitude to all those who have donated money and provided other assistance. Cyclone Mocha ERRCA is effectively using the donations received to the areas where the people of Arak who have been affected by the cyclone are in real need, and we are working hard to do our best to work with the entire Arak community by utilizing all our human and financial resources.

Cyclone Mocha ERRCA
June 14, 2023

Telegram: @HDCORelief 
Telegram: @CycloneMochaERRCA 
Mail: HDCO.ULA@outlook.com"
AA,15/07/2023 01:49,Humanitarian,"Announcement 

1385, 12th day of the first full moon of Waso
2023, 14th day of July

Telegram: @HDCORelief 
Telegram: @CycloneMochaERRCA 
Facebook: https://www.facebook.com/cyclonemochaerrca 
Mail: HDCO.ULA@outlook.com"
AA,17/07/2023 00:23,Humanitarian,"Statement 
 
 July 14, 2023
 
 
 Today is the day which has been two months since Cyclone Mocha has struck. On May 14, 2023, ULA formed Cyclone Mocha ERRCA committee with the aim of carrying out emergency and rescue activities in the townships across Rakhine where the cyclone has passed as its center and devastated mostly. By utilizing the human resources and financial ones both from our political, administrative, civilian and military departments of the organization, and from the domestic and international communities, we are able to manage and perform the relief work successfully.
 
 Therefore, two months after the cyclone, more than 75 percent of the affected population is now re-sheltered and we are also in consistent efforts to shelter the rest as fast as possible. For our part, we are trying our best to restore the broken transportation, provide rice seeds and help farmers plant seasonal fruits, deliver health services, and support the basic foods, clothes and shelters for the urgent and disaster-affected people. In addition, conducting survey projects is on the way to get more concrete data about the damage and loss of the cyclone which in turn can help our relief and rehabilitation activities.
 
 The Cyclone Mocha ERRCA committee would like to deeply recognize and thank all those people and individuals who have helped the Mocha cyclone-affected people of Arakkha morally, physically and financially. At the same time, since there are still many emergency needs and rehabilitation activities to be completed, we would like to request further humanitarian assistance and cooperation in every possible way. In addition, the ERRCA would like to urge the businesspersons, traders, and shopkeepers of construction materials not to sell home-construction items, rice, oil and salt and other basic commodities and medicines at unreasonable prices but to do so at a fair price. 
 
 Cyclone Mocha ERRCA 
 
 Telegram: @HDCORelief 
 Telegram: @CycloneMochaERRCA 
 Mail: HDCO.ULA@outlook.com"
AA,23/11/2023 01:13,West,"The Arakan Army (AA) successfully rescued around 100 innocent civilians, including monks, the elderly, children and pregnant women held as human shields by the Myanmar junta for six days on November 21, 2023.
  
 On November 21, at approximately 12:02 pm, an intense clash erupted between the Arakan Army (AA) and the Myanmar junta in some downtown areas and Lawka Hteik Pan Pagoda Hill in Pauktaw Township, Arakan.
 
 For six days, those people were held as hostages and used as human shields. This atrocious act of abduction had been perpetrated by the Myanmar junta starting from November 16, 2023. 
  
 The clash with Myanmar junta troops in Pauktaw downtown was triggered by the urgent need to rescue civilian hostages. This intense confrontation successfully liberated the hostages but resulted in a fierce fight where most of the SAC's troops were eliminated. Some military weapons and ammunition were seized during this intense fight. Some Arrakkha soldiers of the AA have sacrificed their lives for the country and the people, and some were injured.
 
 Our adversary, the Myanmar military junta, has been aimlessly launching the sea-land-air joint operation - airstrikes, navy attacks, heavy artillery, and multiple rocket launchers at the places where the clash was breaking out and at the places where there was no clash.
 
 The Arakan Army (AA) remains committed to defending the lives, properties, and prosperity of the Arakan people, vowing to respond to anyone threatening them. Any SAC troops who are committing war crimes against the Arakan people will suffer the consequences, as previously announced by the Arakan Army (AA).
 
 While striving to ensure the safe evacuation of the remaining hostages used as human shields, the Arakan Army (AA) is and will eliminate the remainder of the SAC's troops in Pauktaw Township, Arakan.
 
  #AAInfoDesk 
 
  DISCLAIMER: The English version is a translation of the original in Burmese for information purposes only. In case of a discrepancy, the Burmese original will prevail."
AA,26/12/2023 23:23,West,"Statement 
 
 December 25, 2023
 
 The military forces of the State Administration Council (SAC) and the Ethnic Revolutionary Organizations (ERO) having been engaged in daily armed confrontations. Following the 1027 operation, the illegitimate State Administration Council (SAC) has been facing significant military, political, and diplomatic challenges and while the chance of being defeated mounted, it has been intentionally launching assaults on civilian targets comprising of villages, towns, and cities. These attacks include various methods such as bombardment, artillery shots, and airstrikes. Furthermore, deliberate destructions of pagodas, temples and historical heritage sites have been committed by using the heavy artillery and light arms firing.
 
 At 5:00 AM on December 25, 2023, the Infantry Battalion 540, Infantry Battalion 377, Infantry Battalion 378 which are under the command of SAC Military Operation Command (MOC) 9 and No (31) Police Forces, stationed in Mrauk-U, have deliberately targeted the Archaeological Research Museum, Monastery, and other religious structures in Mrauk-U City. The city, which is under the proposal for UNESCO World Heritage status as it boasts numerous heritage sites, has suffered extensive harm in the recent deliberate attacks by the SAC forces. This assault has led to the destruction of priceless historical and cultural artefacts in the Archaeological Museum which are recognized not only as Rakhine Heritage but also as prospective World Heritage. Additionally, the deployment of heavy weaponry has inflicted damage to the three monasteries, and the devastation has extended to residential areas causing casualties among civilians and serious injuries as well.
 
 We vehemently assert that the Fascist State Administration Council (SAC) must be fully aware that our community will never forget these actions perpetrated by SAC which include the repeated commission of Crimes Against Humanity and various war crimes, notably the intentional destruction of one's historical and cultural heritages. We solemnly declare that we, ULA/AA, will take the most effective retaliatory measures against the SAC for its deliberate and vicious destruction of our heritage sites and historical artifacts.
 
 United League of Arakan (ULA)
 
  DISCLAIMER: The English version is a translation of the original in Burmese for information purposes only. In case of a discrepancy, the Burmese original will prevail."
AA,30/12/2023 01:01,India,"Press Release 

December 29, 2023

Operation 1027 began in northern Shan on October 27, and more than two weeks later, on November 13, 2023, the “operation” was launched in the Rakhine and Paletwa fronts as well as in the areas where the Rakhine Army operates according to its military needs. Since the start of the operation, it has been able to conduct continuous operations without missing a day.

The Rakhine Army is conducting Operation 1027 together with its allies, the Kokang and Ta’ang organizations, in northern Shan, as well as in Rakhine, Paletwa, and other areas.

Since the start of the operation, the Arakan Army has been attacking and completely capturing the targets it has set in Arakan and Paletwa regions one by one. Some targets are still partially or partially occupied, and efforts are being made to completely capture them.

The Arakan Army also captured some of the targets it had set on December 26, 27, and 28, 2023. Efforts will continue to be made to capture the remaining targets.

On December 26, 2023, at around 9:00 PM, the Mrauk-U Township Police Station was attacked---

On December 27, 2023, at 6:00 AM, the Khawetthi Kone in Paletwa was attacked---

In addition, on December 28, 2023, at 9:20 AM, the India-Myanmar border, Point (377) Operation Base Camp Hill, an enemy base camp in Paletwa area, has been completely captured by the Arakan Army.

We have seized a large number of enemy bodies, weapons, and military equipment from the enemy base camps we have captured. Many of the enemy bodies, which were rotting and smelling bad, have been properly buried.

At the same time, we are pursuing and eliminating the enemies who have not surrendered and escaped.

We would like to inform you that everyone who surrenders will be guaranteed to live and will be allowed to meet their families and relatives.

News and Information
Arakan Army

Website Link: https://www.arakanarmy.net/ 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,08/01/2024 22:26,India,"Battle News 

January 8, 2024

After the entire Dakasa (Laukkai) in northern Shan State surrendered, about 200 enemy forces (the entire camp) from Taung Shara Taung Strategic Camp in Kyauktaw Township, Rakhine State also surrendered to the Arakan Army. Similarly, other military council camps have also contacted us to surrender or seek refuge in the public.

During the battle to capture Taung Shara Taung Strategic Camp, comrades from some partner organizations also actively fought, gaining military experience.

The Arakan Army is attacking the military council camps in order to make the entire Paletwa region free of military councils. Since January 7, we have captured every military council camp in the western part of Paletwa. We will completely attack some of the remaining military council camps in the coming days.

About 104 members of the Military Council who fled from the Chin Letwa camp fled into India with the help of the Assam Rifles. On December 29, 2023, 151 members of the Military Council from Point 377 camp fled into India and were handed over to the Military Council by the Indian government on January 2, 2024.

As a subsequent captured camp, the Rakhine Army finally captured the Thingyit Taung camp in Mrauk U, Rakhine State at 4:00 PM on January 7, 2024. A large amount of enemy military equipment and ammunition was seized.

We would like to inform you that members of the Military Council and military camps who wish to surrender can contact us at any time.

News and Information
Arakan Army

Website Link: https://www.arakanarmy.net/ 
VK Link: https://vk.com/arakanarmyinfodesk"
AA,15/01/2024 02:21,"Bangladesh, India","Battle News Release 

January 14, 2024

As the saying goes, ""Rome was not built in a day"", none of the strategic positions, barracks, and artillery positions captured by the Arakan Army in the Rakhine and Paletwa regions were easily captured.

These positions were captured through the worthy sacrifices of the Arakan soldiers, the bravery of the soldiers who sacrificed themselves, the fulfillment of the orders and duties given, the ability to fight in conjunction with each other in the war zones, and the ability to seize the enemy's weaknesses. On the other hand, through connected battles and balanced battles, the enemy's positions were strategically captured one after another.

The important cities in northern Rakhine were attacked by the enemy's air, sea, Despite heavy artillery fire, our Rakhine Army was able to capture the important and key strategic hills, emplacements and artillery emplacements of the Military Council, which have been causing trouble to the people for many years, through fierce offensive attacks.

The operation in Paletwa began on November 13, 2023, and both “Tarong Ai” and “Non Bu” strategic areas were attacked in succession. Even before this offensive began, we had been strategically surrounding and blocking many strategic hills and emplacements of the Military Council in Rakhine and Paletwa for many years, and we are now attacking and destroying these areas one by one. 

Therefore, the military council’s strategic areas, namely Tarong Ai strategic area, Non Bu strategic area, Khwe strategic area, Point (377) strategic area, Shin Lethwa strategic area, The KLA (289) Battalion Headquarters, the SKA (19) Forward Division Headquarters, and the Miwa Strategic Hill were strategically and systematically captured one by one. Only after such capture was the entire city of Paletwa finally captured and successfully controlled.

Around Paletwa, the “KLA (289) Battalion Headquarters”, “SKA (19) Forward Division Headquarters” and “Division (11)” subordinate battalions are deployed east, west, south, and north centered on Paletwa.

“KLA (289) Battalion Headquarters” is a major divisional headquarters that manages and commands all their battalions in the entire Paletwa region, and is also the “military strategic hill” where division commanders jointly supervise.

All the battalions in Paletwa and the commanders of the “Saka Kha (19)” and “Division (11)” operating in Paletwa are located in Paletwa and are under command from there, making Paletwa the largest strategic base. 

The Arakan Army finally captured the “289th Battalion Headquarters” of the Military Council based in Paletwa at 7:10 a.m. on January 10, 2024. A large amount of enemy weapons and ammunition and military equipment were seized. 

This “289th Battalion Headquarters” is the last remaining camp to be captured among the many camps that they have surrounded in Paletwa. In addition, this battalion headquarters is the headquarters that manages and directs the military council’s operations in the entire Paletwa region, as well as the strategic support base that provides support to their military bases in the entire Paletwa region and the India-Bangladesh-Myanmar (Paletwa) tri-border. 

The last two remaining “Namada Strategy” and “Khankha Taung Strategy” camps of the military council in the Paletwa region, “Khankha Taung Strategy” camp, were also completely captured on January 13, 2024, and a large amount of ammunition was also seized. The enemies in this “Khankha Taung Strategy” fled to the Indian side."
AA,24/01/2024 16:37,West,"Statement
 (Refutation on the Burmese Military's Deceitful Drug Accusations and its Media Propaganda)
  
 January 23, 2024
 
 Website Link: https://www.arakanarmy.net/ 
 VK Link: https://vk.com/arakanarmyinfodesk"
AA,25/01/2024 02:40,India,"ULA provides rice and cash assistance to displaced people from Myeik Wa village in Paletwa region 

January 24, 2024

ULA provided rice and cash assistance to displaced people from Myeik Wa village, Myeik Wa village tract, Paletwa region on January 24, 2024. ULA provided (206,500) Kyats and (73) boxes of rice to a total of (121) households today (January 24).

In Myeik Wa village, Myeik Wa village tract, Paletwa region, there are a total of (136) households who have been displaced from India and Rakhine State since August 2022, and currently only (121) households have returned to their homes. The remaining families are still living as refugees in the Indian side and in Rakhine State, Kyauktaw and Mrauk-U.

Just as we faced hardships together during the war, we will continue to provide our best support to the people in the reconstruction efforts now that the war is over.

#AAInfoDesk"
